Compound_ID,SMILES,Activity_Label,Source
CHEMBL1797523,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCNC(=N)N)C(=O)Cc1ccccc1,0,ChEMBL_PKM2
CHEMBL1797524,N=C(N)NCCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)Cc1ccccc1,0,ChEMBL_PKM2
CHEMBL1797525,N=C(N)NCCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1ccccc1)NS(=O)(=O)Cc1ccccc1)C(=O)Cc1ccccc1,0,ChEMBL_PKM2
CHEMBL1797526,N=C(N)NCCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)Cc1ccccc1,0,ChEMBL_PKM2
CHEMBL1797527,N=C(N)NCCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)Cc1ccccc1,1,ChEMBL_PKM2
CHEMBL179938,COc1cc(CNc2ccc(C(=N)N)cc2)ccc1OCc1ccccc1,1,ChEMBL_PKM2
CHEMBL179983,COc1ccc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)cc1OC,1,ChEMBL_PKM2
CHEMBL180104,COc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)c(S(=O)(=O)c2ccccc2)cc1OCc1ccccc1,1,ChEMBL_PKM2
CHEMBL180105,COc1cc(CNc2ccc(C(=N)N)cc2)c(NS(C)(=O)=O)cc1OCc1ccccc1,1,ChEMBL_PKM2
CHEMBL180857,CCOc1cc(C(Nc2ccc(C(=N)N)cc2)C(=O)NCc2ccccc2)ccc1OCc1ccccc1,1,ChEMBL_PKM2
CHEMBL181265,CCOc1ccc(CNc2ccc(C(=N)N)cc2)cc1OCC,1,ChEMBL_PKM2
CHEMBL18767,COC(=O)CN(CCCc1ccc(-c2ccccc2S(N)(=O)=O)cc1)c1cccc(C(=N)N)c1.O=C(O)C(F)(F)F,1,ChEMBL_PKM2
CHEMBL189165,CC[C@@H](C)NC(=O)c1cc(N)cc(-c2cnc(NC(C)C)c(=O)n2CC(=O)NCc2ccc(C(=N)N)cc2C(=O)NCCN2CCOCC2)c1,1,ChEMBL_PKM2
CHEMBL189166,CC[C@@H](C)NC(=O)c1cc(N)cc(-c2cnc(NC(C)C)c(=O)n2CC(=O)NCc2ccc(C(=N)N)cc2C(=O)NCC(=O)O)c1,1,ChEMBL_PKM2
CHEMBL189597,CC[C@@H](C)NC(=O)c1cc(N)cc(-c2cnc(NC(C)C)c(=O)n2CC(=O)NCc2ccc(C(=N)N)cc2C(=O)NCC(=O)OC)c1,1,ChEMBL_PKM2
CHEMBL1923468,O=C(CN1CCC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O)N1C[C@@H]2C[C@H](C1)c1cccc(=O)n1C2,1,ChEMBL_PKM2
CHEMBL192738,CC[C@@H](C)NC(=O)c1cc(N)cc(-c2cnc(NC(C)C)c(=O)n2CC(=O)NCc2ccc(C(=N)N)cc2)c1,1,ChEMBL_PKM2
CHEMBL193745,CC(C)CCN(Cc1ccc2ccc(C(=N)N)cc2c1)C(=O)c1ccc2ccccc2c1,1,ChEMBL_PKM2
CHEMBL194689,CN1CCCC1CCN(Cc1ccc2ccc(C(=N)N)cc2c1)C(=O)c1cccc2ccccc12,1,ChEMBL_PKM2
CHEMBL195032,N=C(N)c1ccc2ccc(CN(CCc3ccccn3)C(=O)c3cccc4ccccc34)cc2c1,1,ChEMBL_PKM2
CHEMBL195238,N=C(N)c1ccc2ccc(CN(CCCc3ccccc3)C(=O)c3cccc4ccccc34)cc2c1,1,ChEMBL_PKM2
CHEMBL195314,N=C(N)c1ccc2ccc(CN(CCc3c[nH]cn3)C(=O)c3cccc4ccccc34)cc2c1,1,ChEMBL_PKM2
CHEMBL196182,N=C(N)c1ccc2ccc(CN(CCC[n+]3cc[nH]c3)C(=O)c3cccc4ccccc34)cc2c1,1,ChEMBL_PKM2
CHEMBL197032,CC1CCCCN1CCCN(Cc1ccc2ccc(C(=N)N)cc2c1)C(=O)c1cccc2ccccc12,1,ChEMBL_PKM2
CHEMBL197563,N=C(N)c1ccc2ccc(CN(CCCN3CCOCC3)C(=O)c3cccc4ccccc34)cc2c1,1,ChEMBL_PKM2
CHEMBL198629,Cc1cc2cc(NC(=N/[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O)/C(C#N)=C(\O)OCCCCO)ccc2o1,0,ChEMBL_PKM2
CHEMBL199271,CCOc1cc(OCC)cc(C(Nc2ccc(C(=N)N)cc2)C(=O)O)c1,1,ChEMBL_PKM2
CHEMBL202010,N=C(N)c1ccc2[nH]c(-c3nc4ccccc4[nH]3)nc2c1,1,ChEMBL_PKM2
CHEMBL202433,N=C(N)c1ccc2[nH]c(-c3cnc[nH]3)nc2c1,1,ChEMBL_PKM2
CHEMBL202784,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cccc(CN)c4)c3O)nc2c1,1,ChEMBL_PKM2
CHEMBL202799,COc1ccc(C#N)cc1-c1cc(C(CC(=O)O)C(=O)O)cc(-c2nc3cc(C(=N)N)ccc3[nH]2)c1O,1,ChEMBL_PKM2
CHEMBL202807,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4c(O)cc(Cl)cc4Cl)c3O)nc2c1,1,ChEMBL_PKM2
CHEMBL202850,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4ccc(F)c(Cl)c4)c3O)nc2c1,1,ChEMBL_PKM2
